 U1_fascism:0 "Alabama Reich"
 U43_fascism_ADJ:0 "Texas"
 U43_democratic_ADJ:0 "Texas"
 U43_neutrality_ADJ:0 "Texas"
 U43_communism_ADJ:0 "Texas"
 U43:0 "Texas"
 U43_DEF:0 "Texas"
 U43_ADJ:0 "Texas"
 U44_fascism:0 "Utah Reich"
 U44_fascism_DEF:0 "the Utah Reich"
 U44_democratic:0 "Utah Republic"
 U44_democratic:0 "the Utah Republic"
 U44_neutrality:1 "Utah Empire"
 U44_neutrality_DEF:1 "the Utah Empire"
 U44_communism:0 "Socialist Republic of Utah"
 U44_communism_DEF:0 "the Socialist Republic of Utah"
 U44_fascism_ADJ:0 "Utah"
 U44_democratic_ADJ:0 "Utah"
 U44_neutrality_ADJ:0 "Utah"
 U44_communism_ADJ:0 "Utah"
 U44:0 "Utah"
 U44_DEF:0 "Utah"
 U44_ADJ:0 "Utah"
 U45_fascism:0 "Vermont Reich"
 U45_fascism_DEF:0 "the Vermont Reich"
 U45_democratic:0 "Vermont Republic"
 U45_democratic:0 "the Vermont Republic"
 U45_neutrality:1 "Vermont Empire"
 U45_neutrality_DEF:1 "the Vermont Empire"
 U45_communism:0 "Socialist Republic of Vermont"
 U45_communism_DEF:0 "the Socialist Republic of Vermont"
 U45_fascism_ADJ:0 "Vermont"
 U45_democratic_ADJ:0 "Vermont"
 U45_neutrality_ADJ:0 "Vermont"
 U45_communism_ADJ:0 "Vermont"
 U45:0 "Vermont"
 U45_DEF:0 "Vermont"
 U45_ADJ:0 "Vermont"
 U46_fascism:0 "Virginia Reich"
 U46_fascism_DEF:0 "the Virginia Reich"
 U46_democratic:0 "Virginia Republic"
 U46_democratic:0 "the Virginia Republic"
 U46_neutrality:1 "Virginia Empire"
 U46_neutrality_DEF:1 "the Virginia Empire"
 U46_communism:0 "Socialist Republic of Virginia"
 U46_communism_DEF:0 "the Socialist Republic of Virginia"
 U46_fascism_ADJ:0 "Virginia"
 U46_democratic_ADJ:0 "Virginia"
 U46_neutrality_ADJ:0 "Virginia"
 U46_communism_ADJ:0 "Virginia"
 U46:0 "Virginia"
 U46_DEF:0 "Virginia"
 U46_ADJ:0 "Virginia"
 U47_fascism:0 "Washington Reich"
 U47_fascism_DEF:0 "the Washington Reich"
 U47_democratic:0 "Washington Republic"
 U47_democratic:0 "the Washington Republic"
 U47_neutrality:1 "Washington Empire"
 U47_neutrality_DEF:1 "the Washington Empire"
 U47_communism:0 "Socialist Republic of Washington"
 U47_communism_DEF:0 "the Socialist Republic of Washington"
 U47_fascism_ADJ:0 "Washington"
 U47_democratic_ADJ:0 "Washington"
 U47_neutrality_ADJ:0 "Washington"
 U47_communism_ADJ:0 "Washington"
 U47:0 "Washington"
 U47_DEF:0 "Washington"
 U47_ADJ:0 "Washington"
 U48_fascism:0 "West Virginia Reich"
 U48_fascism_DEF:0 "the West Virginia Reich"
 U48_democratic:0 "West Virginia Republic"
 U48_democratic:0 "the West Virginia Republic"
 U48_neutrality:1 "West Virginia Empire"
 U48_neutrality_DEF:1 "the West Virginia Empire"
 U48_communism:0 "Socialist Republic of West Virginia"
 U48_communism_DEF:0 "the Socialist Republic of West Virginia"
 U48_fascism_ADJ:0 "West Virginia"
 U48_democratic_ADJ:0 "West Virginia"
 U48_neutrality_ADJ:0 "West Virginia"
 U48_communism_ADJ:0 "West Virginia"
 U48:0 "West Virginia"
 U48_DEF:0 "West Virginia"
 U48_ADJ:0 "West Virginia"
 U49_fascism:0 "Wisconsin Reich"
 U49_fascism_DEF:0 "the Wisconsin Reich"
 U49_democratic:0 "Wisconsin Republic"
 U49_democratic:0 "the Wisconsin Republic"
 U49_neutrality:1 "Wisconsin Empire"
 U49_neutrality_DEF:1 "the Wisconsin Empire"
 U49_communism:0 "Socialist Republic of Wisconsin"
 U49_communism_DEF:0 "the Socialist Republic of Wisconsin"
 U49_fascism_ADJ:0 "Wisconsin"
 U49_democratic_ADJ:0 "Wisconsin"
 U49_neutrality_ADJ:0 "Wisconsin"
 U49_communism_ADJ:0 "Wisconsin"
 U49:0 "Wisconsin"
 U49_DEF:0 "Wisconsin"
 U49_ADJ:0 "Wisconsin"
 U50_fascism:0 "Wyoming Reich"
 U50_fascism_DEF:0 "the Wyoming Reich"
 U50_democratic:0 "Wyoming Republic"
 U50_democratic:0 "the Wyoming Republic"
 U50_neutrality:1 "Wyoming Empire"
 U50_neutrality_DEF:1 "the Wyoming Empire"
 U50_communism:0 "Socialist Republic of Wyoming"
 U50_communism_DEF:0 "the Socialist Republic of Wyoming"
 U50_fascism_ADJ:0 "Wyoming"
 U50_democratic_ADJ:0 "Wyoming"
 U50_neutrality_ADJ:0 "Wyoming"
 U50_communism_ADJ:0 "Wyoming"
 U50:0 "Wyoming"
 U50_DEF:0 "Wyoming"
 U50_ADJ:0 "Wyoming"
